song,artist,year,wave,hype_moment
I Don't Like,Chief Keef ft. Lil Reese,2012,Chicago drill,"DGainz-channel video (Mar 11, 2012) hit 30M+ views before its Aug 2013 takedown; Kanye's remix landed May 1, 2012, seven weeks later, and Interscope paid $6M inside six months."
Love Sosa,Chief Keef,2012,Chicago drill,"Dropped Oct 18, 2012 and a late-2012 report already cited ~20M YouTube views, roughly 20M in two months; the DGainz upload sits at 383M today (proxy: the ~20M figure is real but its date is unpinned)."
Kill Shit,Lil Herb & Lil Bibby,2012,Chicago drill,"Two unsigned 16-year-olds never charted, did ~10M views in the breakout window (unconfirmed on second pass) and 50M+ since, and Drake called them ""the future"" within months (proxy)."
Hot Nigga,Bobby Shmurda,2014,NYC & Vine-era street,"Video sat dormant from Mar 28, 2014 until Vine user Vladimir Francois looped the Shmoney Dance in June; 5M YouTube views in a single month, Beyoncé doing the dance on tour by July 15, a rumored $2M Epic deal and #1 Hot R&B/Hip-Hop."
CoCo,O.T. Genasis,2014,NYC & Vine-era street,"""I'm in love with the coco"" became a four-word Vine punchline detached from the record; no dated loop count survives (proxy: Hot 100 top-20 peak, exact position unverified)."
Nasty Freestyle,T-Wayne,2015,NYC & Vine-era street,"Two opening bars sized for a six-second loop sold 785,562 US copies by July 2015, about two months after the May 4 release, and took a total unknown to #9 on the Hot 100."
Ooouuu,Young M.A,2016,NYC & Vine-era street,"Independent release May 12, 2016; 57M+ YouTube views and 32M Spotify plays by Oct 2016 with 400–500K daily US plays, #21 Hot 100 in eight chart weeks, and radio's 150K spins came after the views."
My Shit,A Boogie wit da Hoodie,2016,NYC & Vine-era street,"The audio had almost 1M YouTube views before an official video existed (FADER, Aug 12, 2016), Meek Mill and DJ Khaled shouted it out, and Drake brought him out on the Summer Sixteen tour in New York."
Versace,Migos,2013,ATL trap,"Drake told Coach K he'd been listening ""for the last four days"" and was on the remix a week later; the whole genre adopted the triplet flow while the single peaked at #99 (proxy: co-sign lag)."
Danny Glover,Young Thug,2014,ATL trap,"The Jan 2014 street record that preceded the radio single ""Stoner""; praised by Drake and Kanye and remixed by Nicki Minaj within the year (proxy: co-sign lag)."
Tuesday,iLoveMakonnen,2014,ATL trap,"Drake tweeted his remix Aug 12, 2014; Makonnen was signed to OVO Sound by Aug 31 (19 days) and the label single chased the co-sign on Sept 1."
U Guessed It,OG Maco,2014,ATL trap,"Video Aug 28, 2014; 9M+ Vine loops, 16M+ YouTube plays and ~7M SoundCloud plays by Dec 2014, a 2 Chainz remix 29 days after upload, all on a #90 Hot 100 peak."
1st Day Out tha Feds,Gucci Mane,2016,ATL trap,"Recorded and released May 27, 2016, the day after he walked out of federal prison; the same-day turnaround was the event (proxy: no first-day view count recoverable)."
X,21 Savage & Metro Boomin ft. Future,2016,ATL trap,"July 14, 2016 lead single, Savage Mode a day later; XXL Freshman momentum into 2x Platinum and a pit staple all summer (proxy: no velocity data)."
Bad and Boujee,Migos ft. Lil Uzi Vert,2016,ATL trap,"~100 ""raindrop, drop top"" tweets on release day became ~600,000 posts by Jan 2, 2017 (82% after Dec 7); Donald Glover's Globes shout-out drove a +243% Spotify spike, 32M+ streams the week ending Jan 14, #1 on Jan 21."
Mask Off,Future,2017,ATL trap,"An album cut the fans chose: #MaskOffChallenge (recorders, violins, trombones) bubbled from early March and took off the week of Mar 30, 2017; certified gold by Apr 10, ~8 weeks after release."
