Track name,Artist name,Album
I Don't Like,Chief Keef,
Love Sosa,Chief Keef,
Kill Shit,Lil Bibby,
Hot N*gga,Bobby Shmurda,
CoCo,O.T. Genasis,
Nasty Freestyle,T-Wayne,
OOOUUU,Young M.A,
My Shit,A Boogie Wit da Hoodie,
Versace,Migos,
Danny Glover,Young Thug,
Tuesday,ILOVEMAKONNEN,
U Guessed It,OG Maco,
1st Day Out tha Feds,Gucci Mane,
X,21 Savage,
Bad and Boujee,Migos,
Mask Off,Future,
Ultimate,Denzel Curry,
One Night,Lil Yachty,
Look at Me!,XXXTentacion,
Panda,Desiigner,
Water,Ugly God,
XO Tour Llif3,Lil Uzi Vert,
Magnolia,Playboi Carti,
The Race,Tay-K,
Gucci Gang,Lil Pump,
Gummo,6ix9ine,
Lucid Dreams,Juice WRLD,
Back to Back,Drake,
Father Stretch My Hands Pt. 1,Kanye West,
HUMBLE.,Kendrick Lamar,
DNA.,Kendrick Lamar,
Mo Bamba,Sheck Wes,
SICKO MODE,Travis Scott,
Rubbin Off the Paint,YBN Nahmir,
Red Roses,Lil Skies,
Thotiana,Blueface,
Shotta Flow,NLE Choppa,
Pop Out,Polo G,
Suge,DaBaby,
Ransom,Lil Tecca,
Bandit,Juice WRLD,
First Day Out,Tee Grizzley,
Shoot,BlocBoy JB,
Look Alive,BlocBoy JB,
Respect My Cryppin',Blueface,
Welcome to the Party,Pop Smoke,
Big Drip,Fivio Foreign,
Whoopty,CJ,
Back in Blood,Pooh Shiesty,
The Box,Roddy Ricch,
Savage,Megan Thee Stallion,
Whole Lotta Choppas,Sada Baby,
Stop Breathing,Playboi Carti,
Get Busy,Yeat,
family ties,Baby Keem,
F.N.F. (Let's Go),Hitkidd,
Rich Minion,Yeat,
Munch (Feelin' U),Ice Spice,
Just Wanna Rock,Lil Uzi Vert,
Pound Town,Sexyy Red,
SkeeYee,Sexyy Red,
FE!N,Travis Scott,
Like That,Future,
euphoria,Kendrick Lamar,
Not Like Us,Kendrick Lamar,
